Woningtype;Bouwperiode;Eigendomstype;Schillabel;Population;slope_space_heating;constant_space_heating;slope_residents;constant_residents
1;0;0;A;1;4.733451816;994.7577883;0.002665439;2.272501545
1;0;0;B;1;4.733451816;994.7577883;0.001874177;2.50069353
1;0;0;C;1;4.733451816;994.7577883;0.002632328;2.264368579
1;0;0;D;1;4.733451816;937.971489;0.003625704;2.0856346
1;0;0;E;1;4.733451816;1121.26063;0.002904602;2.231943987
1;0;0;F;1;4.733451816;1037.945275;0.003479577;2.028547469
1;0;0;G;1;4.733451816;961.3381899;0.004351187;1.881594839
1;0;1;A;1;4.973885227;997.6533984;0.005699477;1.549454838
1;0;1;B;1;4.973885227;997.6533984;0.005699477;1.549454838
1;0;1;C;1;4.973885227;997.6533984;0.005699477;1.549454838
1;0;1;D;1;4.973885227;997.6533984;0.005699477;1.549454838
1;0;1;E;1;4.973885227;997.6533984;0.005126288;1.584240471
1;0;1;F;1;4.973885227;997.6533984;0.0045531;1.619026104
1;0;1;G;1;4.973885227;1060.599112;0.004362625;1.737154138
1;0;2;A;1;0.728813894;1387.873931;0.002665439;2.272501545
1;0;2;B;1;0.728813894;1387.873931;0.001874177;2.50069353
1;0;2;C;1;0.728813894;1387.873931;0.002632328;2.264368579
1;0;2;D;1;0.728813894;1387.873931;0.003625704;2.0856346
1;0;2;E;1;0.728813894;1387.873931;0.002904602;2.231943987
1;0;2;F;1;0.728813894;1387.873931;0.003479577;2.028547469
1;0;2;G;1;0.728813894;1387.873931;0.004351187;1.881594839
1;1;0;A;1;4.716436993;1128.81411;0.004731834;2.259686364
1;1;0;B;1;4.716436993;1128.81411;0.003058112;2.3020425
1;1;0;C;1;4.716436993;1128.81411;0.003051588;2.329643977
1;1;0;D;1;4.716436993;1040.111954;0.003176732;2.249740098
1;1;0;E;1;4.716436993;1300.801492;0.002533665;2.303322136
1;1;0;F;1;4.716436993;1110.48174;0.00328909;2.143883006
1;1;0;G;1;4.716436993;1017.761143;0.004709607;1.903151116
1;1;1;A;1;4.015657116;1362.720047;0.006844505;1.481061868
1;1;1;B;1;4.015657116;1362.720047;0.006844505;1.481061868
1;1;1;C;1;4.015657116;1362.720047;0.006844505;1.481061868
1;1;1;D;1;4.015657116;1362.720047;0.006844505;1.481061868
1;1;1;E;1;4.015657116;1362.720047;0.004848898;1.728872537
1;1;1;F;1;4.015657116;1362.720047;0.002853291;1.976683207
1;1;1;G;1;4.015657116;1362.720047;0.006126681;1.478861753
1;1;2;A;1;4.403672751;1217.131384;0.004731834;2.259686364
1;1;2;B;1;4.403672751;1217.131384;0.003058112;2.3020425
1;1;2;C;1;4.403672751;1217.131384;0.003051588;2.329643977
1;1;2;D;1;4.403672751;1217.131384;0.003176732;2.249740098
1;1;2;E;1;4.403672751;1237.887804;0.002533665;2.303322136
1;1;2;F;1;4.403672751;1258.644224;0.00328909;2.143883006
1;1;2;G;1;4.403672751;1279.400644;0.004709607;1.903151116
1;2;0;A;1;5.886775932;721.4151374;0.001745415;2.554320786
1;2;0;B;1;5.886775932;721.4151374;0.001797352;2.520305407
1;2;0;C;1;5.886775932;721.4151374;0.002986738;2.217452193
1;2;0;D;1;5.886775932;955.2524103;0.002623395;2.212269353
1;2;0;E;1;5.886775932;926.5342887;0.003651171;2.03664313
1;2;0;F;1;5.886775932;863.2984466;0.004837365;1.826949736
1;2;0;G;1;5.886775932;881.8061189;0.005165341;1.884846677
1;2;1;A;1;6.52642333;751.8114463;0.002799672;1.974581511
1;2;1;B;1;6.52642333;751.8114463;0.002799672;1.974581511
1;2;1;C;1;6.52642333;751.8114463;0.002799672;1.974581511
1;2;1;D;1;6.52642333;751.8114463;0.005713371;1.373849151
1;2;1;E;1;6.52642333;751.8114463;0.002599453;2.210311898
1;2;1;F;1;6.52642333;848.4515529;0.006931722;1.493059762
1;2;1;G;1;6.52642333;848.4515529;0.005185559;1.688137266
1;2;2;A;1;2.601679923;1024.525929;0.001473239;1.87107071
1;2;2;B;1;2.601679923;1024.525929;0.001473239;1.87107071
1;2;2;C;1;2.601679923;1024.525929;0.001473239;1.87107071
1;2;2;D;1;2.601679923;973.0282727;0.006478923;1.078810164
1;2;2;E;1;2.601679923;1090.61541;0.004086916;1.496583235
1;2;2;F;1;2.601679923;1210.685009;0.009974435;0.859672619
1;2;2;G;1;2.601679923;1315.736984;0.009974435;0.859672619
1;3;0;A;1;5.666476096;810.5474731;0.000251563;2.828338734
1;3;0;B;1;5.666476096;810.5474731;0.002394957;2.24471854
1;3;0;C;1;5.666476096;810.5474731;0.002609376;2.064141276
1;3;0;D;1;5.666476096;899.5787684;0.00374435;1.884737546
1;3;0;E;1;5.666476096;956.2118912;0.003372858;1.958483667
1;3;0;F;1;5.666476096;926.9303457;0.003867197;2.005140067
1;3;0;G;1;5.666476096;926.9303457;0.005898767;1.6575311
1;3;1;A;1;5.666476096;810.5474731;0.004687738;2.021413549
1;3;1;B;1;5.666476096;810.5474731;0.004687738;2.021413549
1;3;1;C;1;5.666476096;810.5474731;0.004687738;2.021413549
1;3;1;D;1;5.666476096;899.5787684;0.004665592;1.749617494
1;3;1;E;1;5.666476096;956.2118912;0.004992978;1.670262055
1;3;1;F;1;5.666476096;926.9303457;0.001787306;2.360874076
1;3;1;G;1;5.666476096;926.9303457;0.001787306;2.360874076
1;3;2;A;1;5.666476096;810.5474731;0.000251563;2.828338734
1;3;2;B;1;5.666476096;810.5474731;0.002394957;2.24471854
1;3;2;C;1;5.666476096;810.5474731;0.002609376;2.064141276
1;3;2;D;1;5.666476096;899.5787684;0.00374435;1.884737546
1;3;2;E;1;5.666476096;956.2118912;0.003372858;1.958483667
1;3;2;F;1;5.666476096;926.9303457;0.003867197;2.005140067
1;3;2;G;1;5.666476096;926.9303457;0.005898767;1.6575311
1;4;0;A;1;5.190991391;751.2112018;0.00234159;2.132078211
1;4;0;B;1;5.190991391;751.2112018;0.002269426;2.19051876
1;4;0;C;1;5.190991391;896.7611825;0.002818672;2.113690925
